,date,Tavg,RH_avg,RR,ddd_x,ff_avg,station_name,flood
149,2016-09-24,26.7,87.0,1.7,250.0,2.0,Stasiun Klimatologi Banten,1
150,2016-09-25,28.4,81.0,60.5,220.0,1.0,Stasiun Klimatologi Banten,1
151,2016-09-26,27.8,78.0,11.0,230.0,3.0,Stasiun Klimatologi Banten,1
152,2016-09-27,25.5,92.0,1.4,220.0,1.0,Stasiun Klimatologi Banten,0
153,2016-09-28,28.2,76.0,30.9,60.0,1.0,Stasiun Klimatologi Banten,0
154,2016-09-29,27.6,83.0,25.0,200.0,1.0,Stasiun Klimatologi Banten,0
155,2016-09-30,26.7,86.0,6.3,180.0,1.0,Stasiun Klimatologi Banten,0
156,2016-10-01,28.4,78.0,0.5,260.0,6.0,Stasiun Klimatologi Banten,0
157,2016-10-02,27.2,80.0,1.4,260.0,9.0,Stasiun Klimatologi Banten,0
158,2016-10-03,27.7,76.0,1.4,230.0,4.0,Stasiun Klimatologi Banten,0
159,2016-10-04,26.6,86.0,0.2,190.0,2.0,Stasiun Klimatologi Banten,1
160,2016-10-05,27.1,84.0,14.5,170.0,2.0,Stasiun Klimatologi Banten,1
161,2016-10-06,27.7,75.0,1.4,250.0,3.0,Stasiun Klimatologi Banten,0
162,2016-10-07,28.7,77.0,1.4,260.0,3.0,Stasiun Klimatologi Banten,0
163,2016-10-08,26.8,87.0,1.4,220.0,4.0,Stasiun Klimatologi Banten,0
164,2016-10-09,27.7,80.0,3.0,90.0,5.0,Stasiun Klimatologi Banten,0
165,2016-10-10,25.4,92.0,1.5,140.0,3.0,Stasiun Klimatologi Banten,1
166,2016-10-11,27.0,86.0,24.0,90.0,2.0,Stasiun Klimatologi Banten,1
167,2016-10-12,27.1,88.0,11.0,80.0,3.0,Stasiun Klimatologi Banten,1
168,2016-10-13,26.6,91.0,1.4,220.0,4.0,Stasiun Klimatologi Banten,0
169,2016-10-14,26.3,89.0,5.4,260.0,5.0,Stasiun Klimatologi Banten,0
170,2016-10-15,28.1,81.0,1.4,20.0,5.0,Stasiun Klimatologi Banten,0
171,2016-10-16,29.2,73.0,1.4,0.0,4.0,Stasiun Klimatologi Banten,0
172,2016-10-17,28.6,75.0,1.4,270.0,3.0,Stasiun Klimatologi Banten,0
173,2016-10-18,28.8,78.0,1.4,80.0,3.0,Stasiun Klimatologi Banten,0
174,2016-10-19,29.1,77.0,1.4,140.0,4.0,Stasiun Klimatologi Banten,0
175,2016-10-20,28.8,76.0,1.4,170.0,0.0,Stasiun Klimatologi Banten,0
176,2016-10-21,26.3,88.0,1.4,260.0,2.0,Stasiun Klimatologi Banten,0
177,2016-10-22,27.6,84.0,40.0,90.0,5.0,Stasiun Klimatologi Banten,0
178,2016-10-23,24.7,97.0,36.4,230.0,2.0,Stasiun Klimatologi Banten,1
179,2016-10-24,27.0,86.0,29.0,100.0,4.0,Stasiun Klimatologi Banten,0
180,2016-10-25,27.7,66.0,9.7,130.0,5.0,Stasiun Klimatologi Banten,0
181,2016-10-26,28.6,79.0,10.5,270.0,5.0,Stasiun Klimatologi Banten,0
182,2016-10-27,26.7,88.0,3.0,180.0,4.0,Stasiun Klimatologi Banten,0
183,2016-10-28,26.6,90.0,41.0,270.0,3.0,Stasiun Klimatologi Banten,0
184,2016-10-29,27.2,83.0,2.0,270.0,3.0,Stasiun Klimatologi Banten,0
185,2016-10-30,27.4,82.0,1.7,170.0,3.0,Stasiun Klimatologi Banten,0
186,2016-10-31,27.4,82.0,1.1,190.0,4.0,Stasiun Klimatologi Banten,0
187,2016-11-01,28.1,78.0,1.0,260.0,4.0,Stasiun Klimatologi Banten,0
188,2016-11-02,28.2,78.0,1.0,250.0,4.0,Stasiun Klimatologi Banten,0
189,2016-11-03,28.3,78.0,1.4,270.0,3.0,Stasiun Klimatologi Banten,0
